,temperature,luminosity,radius,absolute_magnitude,star_type,star_color,spectral_class
153,16390,1278.0,5.68,-3.32,3,6,1
154,25070,14500.0,5.92,-3.98,3,6,1
155,28700,16790.0,6.4,-4.09,3,6,1
156,26140,14520.0,5.49,-3.8,3,6,1
157,20120,4720.0,6.78,-3.4,3,6,1
158,13023,998.0,6.21,-1.38,3,6,0
159,37800,202900.0,6.86,-4.56,3,0,6
160,25390,223000.0,57.0,-5.92,4,0,6
161,11567,251000.0,36.0,-6.245,4,0,6
162,12675,452000.0,83.0,-5.62,4,0,6
163,5752,245000.0,97.0,-6.63,4,0,6
164,8927,239000.0,35.0,-7.34,4,0,6
165,7282,131000.0,24.0,-7.22,4,0,6
166,19923,152000.0,73.0,-5.69,4,0,6
167,26373,198000.0,39.0,-5.83,4,0,6
168,17383,342900.0,30.0,-6.09,4,0,6
169,9373,424520.0,24.0,-5.99,4,0,6
170,3570,320000.0,1480.0,-7.58,5,10,5
171,3500,138000.0,1420.0,-8.18,5,10,5
172,4287,630000.0,1315.0,-9.2,5,7,4
173,26000,316000.0,1679.0,-9.1,5,0,1
174,3600,240000.0,1190.0,-7.89,5,10,5
175,3614,145000.0,1553.0,-7.71,5,10,5
176,18000,200000.0,1045.0,-8.3,5,0,6
177,11000,170000.0,1779.0,-9.9,5,6,1
178,12100,120000.0,708.9,-7.84,5,6,1
179,24490,248490.0,1134.5,-8.24,5,6,1
180,2831,0.000231,0.0915,16.21,0,10,5
181,2914,0.0006309999999999999,0.11599999999999999,18.39,0,10,5
182,3419,0.000245,0.126,17.56,0,10,5
183,3218,0.000452,0.0987,17.34,0,10,5
184,3453,0.000621,0.0773,17.08,0,10,5
185,2889,0.000352,0.0973,16.93,0,10,5
186,2968,0.00046100000000000004,0.11900000000000001,17.45,0,10,5
187,3484,0.000551,0.0998,16.67,0,10,5
188,2778,0.000849,0.11199999999999999,19.45,0,10,5
189,3523,0.0009570000000000001,0.129,16.35,0,10,5
190,3462,0.0053,0.14800000000000002,11.47,1,10,5
191,3257,0.0024,0.46,10.73,1,10,5
192,2994,0.0072,0.28,13.45,1,10,5
193,3212,0.0016,0.37799999999999995,12.854000000000001,1,10,5
194,3523,0.0054,0.319,12.43,1,10,5
195,3598,0.0027,0.67,13.667,1,10,5
196,3142,0.00132,0.258,14.12,1,10,5
197,3496,0.00125,0.336,14.94,1,10,5
198,3324,0.0065,0.47100000000000003,12.78,1,10,5
199,3463,0.0027,0.675,14.776,1,10,5
200,16790,0.0014,0.0121,12.87,2,0,1
201,15680,0.00122,0.0114,11.92,2,0,1
202,14982,0.00118,0.0113,12.23,2,0,1
203,13340,0.00109,0.0116,12.9,2,0,1
204,18340,0.00134,0.0124,11.22,2,0,1
205,19920,0.00156,0.0142,11.34,2,0,1
206,24020,0.00159,0.0127,10.55,2,0,1
207,23092,0.00132,0.0104,10.18,2,0,1
208,17920,0.0011099999999999999,0.0106,11.66,2,0,1
209,19360,0.00125,0.00998,11.62,2,0,1
210,22350,12450.0,6.36,-3.67,3,6,1
211,10012,552.0,5.856,0.013000000000000001,3,6,0
212,13089,788.0,5.992000000000001,-0.12,3,6,0
213,22012,6748.0,6.64,-2.55,3,6,1
214,34190,198200.0,6.39,-4.57,3,0,6
215,32460,173800.0,6.237,-4.36,3,0,6
216,9320,29.0,1.91,1.236,3,6,0
217,19400,10920.0,6.03,-3.08,3,6,1
218,17140,883.0,5.653,-2.64,3,6,1
219,8250,9.25,1.93,-0.98,3,17,2
220,23678,244290.0,35.0,-6.27,4,0,6
221,12749,332520.0,76.0,-7.02,4,0,6
222,9383,342940.0,98.0,-6.98,4,0,6
223,23440,537430.0,81.0,-5.975,4,0,6
224,16787,246730.0,62.0,-6.35,4,0,6
225,18734,224780.0,46.0,-7.45,4,0,6
226,9892,593900.0,80.0,-7.2620000000000005,4,0,6
227,10930,783930.0,25.0,-6.224,4,0,6
228,23095,347820.0,86.0,-5.905,4,0,6
229,21738,748890.0,92.0,-7.346,4,0,6
230,24145,382993.0,1494.0,-8.84,5,6,1
231,38234,272830.0,1356.0,-9.29,5,0,6
232,32489,648430.0,1948.5,-10.84,5,0,6
233,27739,849420.0,1252.0,-7.59,5,6,1
234,21904,748490.0,1130.0,-7.67,5,6,1
235,38940,374830.0,1356.0,-9.93,5,0,6
236,30839,834042.0,1194.0,-10.63,5,0,6
237,8829,537493.0,1423.0,-10.73,5,11,0
238,9235,404940.0,1112.0,-11.23,5,11,0
239,37882,294903.0,1783.0,-7.8,5,0,6
